"sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
0.8,0.9,0.8,0.9,6,1,1,1,0.709393742373843,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.67889304495645,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,2,0.812606700575462,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.44366840064695,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,3,1.27435402080407,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.76869927895019,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,4,1.35491392646326,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.91357596119544,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,5,1.0050586660532,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.48821101175295,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,6,0.937521693327431,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.91205642063369,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,7,1.42559207808548,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.18089163036468,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,8,0.711256182432298,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.84934080737824,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,9,0.897655623549361,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.59014256940139,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,10,1.75042066644749,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.02891707917921,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,11,0.696602628099536,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.93736113064757,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,12,1.32177190679558,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.72686610825027,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,13,1.11946998582291,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.44176235108645,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,14,0.68404108676169,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.55736925481692,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,15,0.858185713955971,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.53140552834597,NA,NA,NA
0.8,0.9,0.8,0.9,6,1,1,16,1.32044298881437,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.64945383747927,NA,NA,NA
