"M","sensQVOA","specQVOA","sensUDSA","specUDSA","n","Tau","u","q","constant_Tau","sim_id","Lambda","conv","msg","Lambda_naive","conv_naive","msg_naive","assay_resampled"
12,0.9,0.8,0.9,0.8,12,1,1,1,1,1,1.11746912475066,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.06840396009495,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,2,0.891092560164327,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",3.8557796961196,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,3,0.616503900022171,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.36844973627884,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,4,1.89331959297775,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.51432761758734,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,5,1.39884942416291,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.48040728921479,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,6,0.9943730400696,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.55951610355136,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,7,0.897993150867024,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.10502384816406,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,8,1.25971341423287,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",2.94579801645651,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,9,2.18981761878968,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.23554460556906,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,10,0.99580653671951,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.17193183551406,NA,NA,FALSE
12,0.9,0.8,0.9,0.8,12,1,1,1,1,11,1.55326266704571,"0","CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.02845216478326,NA,NA,FALSE
